#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
104;Bošnjaka iz Potoka, koji se druži sa svima, ne nazivaju ustašom.;A Bosniak from Potoci, who hangs out with everyone, is not called Ustasha.;men;life together;2.0;1.0;;3;1.0;8.0;;1;0.0;Integration and Acceptance;8;0;Nationalism;Culture & Society;Culture & Society;1;1.0;0.889831;2.058824;1.060606;0.0;0.263158;1.5
105;Omladina se druži na igralištu u Potocima.;The youth socialize on the playground in Potoci.;youth;life together;;1.0;2.0;3;15.0;11.1;;15;0.0;Youth;11;10.0;Cafes and Space;Culture & Society;Culture & Society;-1;1.0;0.889831;0.0;1.060606;1.372549;0.83004;1.425
106;Kada se ljudi nešto dogovore, obje strane poštuju taj dogovor.;When people agree on something, both sides honor that agreement.;youth;life together;;1.0;2.0;3;6.3;1.1;;6;3.0;Social Trust;1;10.0;Personal value;Culture & Society;Culture & Society;-1;1.0;0.889831;0.0;1.060606;1.372549;0.072351;0.678571
107;Ljudi u Mostaru dobro funkcioniraju zajedno dok se bave bilo kojom vrstom aktivnosti bez obzira na vjeru.;People in Mostar function well together while engaging in any type of activity regardless of their religion.;youth;life together;;;3.0;3;3.7;6.9;;3;7.0;Activities;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;0;3.0;0.889831;0.0;0.0;2.058824;0.152505;0.955556
108;U Potocima ima više izbora za izlazak (kao u Mostaru), pa mladi provode više vremena u Potocima.;There are more choices to go out in Potoci (as in Mostar), so young people spend more time in Potoci.;youth;life together;1.0;2.0;;3;11.1;15.0;;11;10.0;Cafes and Space;15;0;Youth;Culture & Society;Culture & Society;-1;1.0;0.889831;1.029412;2.121212;0.0;0.552632;0.717391
109;Vlasti u Mostaru kreiraju više radnih mjesta da bi djeca ostala u Mostaru.;Authorities in Mostar create more jobs in order to keep young people in Mostar.;men;life together;;1.0;2.0;3;20.5;9.3;;20;5.0;Youth employment;9;3.0;Political functionality;Economic Activity & Livelihoods;Rights & Dignity;-1;1.0;0.889831;0.0;1.060606;1.372549;0.173196;0.918367
110;Mladim parovima se subvencionira nabavljanje prve nekretnine.;Young couples are subsidized to purchase their first property.;youth;life together;;1.0;2.0;3;10.3;9.8;;10;3.0;Housing;9;8.0;Access to public funds;Rights & Dignity;Rights & Dignity;-1;1.0;0.889831;0.0;1.060606;1.372549;1.292308;0.918367
111;Mladim parovima se daje poticaj (npr. dječiji doplatak) da im se pomogne.;Young couples are given an incentive (e.g. child allowance) to help them.;youth;life together;1.0;1.0;1.0;3;10.0;9.3;;10;0.0;Social Programs / Social Services;9;3.0;Political functionality;Rights & Dignity;Rights & Dignity;0;1.0;0.889831;1.029412;1.060606;0.686275;1.292308;0.918367
112;Ne nastaju tenzije među hrvatskom i bošnjačkom djecom, jer svi u školi uče da vole BiH.;There are no tensions between Croat and Bosniak youth, because everyone learns to love B&H in school.;men;life together;2.0;1.0;;3;6.1;19.3;;6;10.0;Us V Them;19;3.0;School inclusiveness;Culture & Society;Rights & Dignity;1;1.0;0.889831;2.058824;1.060606;0.0;0.072351;1.241379
113;Cilj Adventa u Potocima je druženje.;The goal of Advent in Potoci is to socialize.;youth;life together;;1.0;2.0;3;3.7;11.2;;3;7.0;Activities;11;2.0;Social;Culture & Society;Culture & Society;-1;1.0;0.889831;0.0;1.060606;1.372549;0.152505;1.425
