#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
110;Roditelji ne uče djecu da na novom radnom mjestu očekuju istu plaću, kao netko tko tu radi 20 godina.;Parents don't teach their kids to expect the same pay at their new workplace as someone who's been working there for 20 years.;men;life together;;1.0;3.0;4;15.2;20.3;;15;2.0;Infrastructure;20;3.0;Worker's protection and rights;Culture & Society;Economic Activity & Livelihoods;-1;1;1.207297;0.0;0.862559;3.050279;1.10303;1.333333
111;I Cimljanin, i Mujo i Srbin zajedno rade u istoj firmi.;A man from Cim, Mujo [common Bosniak muslim name], and a Serb work together at the same company.;men;life together;3.0;1.0;;4;20.1;6.9;;20;10.0;Inclusivity;6;9.0;Ethno-religious identity;Economic Activity & Livelihoods;Culture & Society;2;1;1.207297;2.56338;0.862559;0.0;0.421296;1.066667
112;U Hrvatsko planinarsko društvo dolaze ljudi (svih vjera,m/ž, sportaši, umjetnici, mladi, stari).;At Croatian Mountaneering Association people of all faith, male/female, sportsmen, artists, young, old gather;women;life together;3.0;1.0;;4;9.7;12.4;;9;7.0;Citizens' associations;12;4.0;Inclusion;Rights & Dignity;Culture & Society;2;1;1.207297;2.56338;0.862559;0.0;1.685185;0.459016
113;Osobni je izbor svake osobe na kojem fakultetu će studirati.;It's every person's personal choice to decide at which faculty to study.;youth;life together;;1.0;3.0;4;19.3;;;19;3.0;School inclusiveness;0;0;0;Rights & Dignity;0;-1;1;1.207297;0.0;0.862559;3.050279;3.676768;0.0
114;Mostar Summer Fest posjećuju pripadnici drugih vjera.;Mostar Summer Fest is visited by members of other faiths.;youth;life together;;;4.0;4;3.7;6.9;;3;7.0;Activities;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;0;4;1.207297;0.0;0.0;4.067039;0.202899;1.066667
115;Šahtovi u Cimu se ne začepe zimi, jer niko ne baca smeće po ulici.;Drains in Cim aren't blocked in winter, because no one throws trash on the streets.;women;life together;3.0;1.0;;4;17.1;18.1;;17;10.0;Roads;18;10.0;Waste management Services;Economic Activity & Livelihoods;Rights & Dignity;2;1;1.207297;2.56338;0.862559;0.0;9.706667;1.230769
116;U Mostaru su izgrađene nove tvornice.;New factories are built in Mostar.;verification;life together;4.0;;;4;20.0;17.4;;20;0.0;Business;17;4.0;Buildings;Economic Activity & Livelihoods;Economic Activity & Livelihoods;4;4;1.207297;3.41784;0.0;0.0;0.421296;1.333333
129;Ako crkvi nešto treba, svih u Cimu su spremni pomoći.;If the church needs something everybody in Cim is ready to help.;men;life together;1.0;1.0;1.0;3;14.0;6.1;;14;0.0;Religion;6;10.0;Us V Them;Culture & Society;Culture & Society;0;1;0.905473;0.85446;0.862559;1.01676;0.4875;0.8
130;Kad čovjek iz Cima zapali roštilj, ne mora nikoga zvati, a pojavi se 10 ljudi (npr susjedi, prijatelji).;When a man from Cim lights a grill, he doesn't need to call anyone because 10 people appear [to hang out] (e.g. neighbors, friends);men;life together;;3.0;;3;6.12;11.4;;6;12.0;Neighbor Relations;11;4.0;Informal;Culture & Society;Culture & Society;-3;3;0.905473;0.0;2.587678;0.0;0.053846;0.927835
131;Kad je ženi iz Cima potreban prijevoz, samo mahne rukom, i prvi ko naiđe je poveze.;When a woman from Cim needs a lift, she just waves her hand, and the first one [car] who comes along takes her.;men;life together;3.0;;;3;22.0;21.0;;22;0.0;Gender;21;0;Motor Vehicles;Culture & Society;Culture & Society;3;3;0.905473;2.56338;0.0;0.0;4.789474;1.5
132;Sve što čovjek iz Cima nije mogao učiniti za sebe, jer je bio u izolaciji, za njega su učinili susjedi.;Everything that a man from Cim couldn't do for himself because he was isolated, neighbors did for him.;men;life together;3.0;;;3;6.1;23.0;;6;10.0;Us V Them;23;0;Health;Culture & Society;Rights & Dignity;3;3;0.905473;2.56338;0.0;0.0;0.053846;0.947368
133;Hrvat iz Cima i danas ima prijatelje Srbe i Bošnjake.;A Croat from Cim has Serbian and Bosniak friends even today;men;life together;3.0;;;3;6.9;6.2;;6;9.0;Ethno-religious identity;6;2.0;Personal relationships;Culture & Society;Culture & Society;3;3;0.905473;2.56338;0.0;0.0;0.053846;0.8
134;Ljudi nisu psihički „otišli“ od korone.;People have not lost their minds from Corona.;women;life together;2.0;;1.0;3;23.1;;;23;10.0;Mental Health;0;0;0;Rights & Dignity;0;2;1;0.905473;1.70892;0.0;1.01676;4.789474;0.0
135;Susjedi pitaju susjeda da im da paracetamol ako im treba.;The neighbors ask their neighbor if he needs paracetamol.;women;life together;3.0;;;3;6.1;23.0;;6;10.0;Us V Them;23;0;Health;Culture & Society;Rights & Dignity;3;3;0.905473;2.56338;0.0;0.0;0.053846;0.947368
136;Fratar iz Cima organizira radionice zlatoveza.;The friar from Cim organizes gold embroidery workshops;women;life together;2.0;1.0;;3;3.7;14.0;;3;7.0;Activities;14;0;Religion;Culture & Society;Culture & Society;1;1;0.905473;1.70892;0.862559;0.0;0.152174;0.685714
137;Braća i sestre se ne zavađaju radi podjele imovine.;Brothers and sisters don't fight over of the division of property;women;life together;3.0;;;3;6.2;17.5;;6;2.0;Personal relationships;17;5;Property Ownership (Land);Culture & Society;Economic Activity & Livelihoods;3;3;0.905473;2.56338;0.0;0.0;0.053846;1.0
138;Ljudi u Mostaru ne vole žugati jedni na druge.;People in Mostar don't like to badmouth each other;women;life together;;1.0;2.0;3;1.1;1.3;;1;10.0;Personal value;1;3.0;Social;Culture & Society;Culture & Society;-1;1;0.905473;0.0;0.862559;2.03352;0.527027;0.567568
139;Momak iz Mostara je od svog novca kupio vreće, kako bi u njih skupio smeće oko zgrade.;A young man from Mostar bought bags with his own money to pick up the trash around a building;youth;life together;;3.0;;3;18.3;3.2;;18;3.0;Environmental Restoration;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;-3;3;0.905473;0.0;2.587678;0.0;2.625;0.442308
140;Čovjek, koji je ukrao milijun maraka, je srazmjerno kažnjen za to.;A man who stole a million marks is punished accordingly;men;life together;1.0;1.0;1.0;3;4.2;4.3;;4;2.0;Corruption;4;3.0;Non-violent Crime;Rights & Dignity;Rights & Dignity;0;1;0.905473;0.85446;0.862559;1.01676;8.4;1.153846
141;Sve osobe koje prekrše zakon se kažnjavaju srazmjerno počinjenom djelu.;All people who break the law are punished in accordance with their deeds.;men;life together;3.0;;;3;4.0;9.3;;4;0.0;Criminality and Legal Enforcement;9;3.0;Political functionality;Rights & Dignity;Rights & Dignity;3;3;0.905473;2.56338;0.0;0.0;8.4;0.5625
142;Plaće u Mostaru se redovno povećavaju.;Paychecks in Mostar increase regularly.;women;life together;3.0;;;3;20.8;20.3;;20;8.0;Livelihoods;20;1900-01-03 00:00:00;Worker's protection and rights;Economic Activity & Livelihoods;Economic Activity & Livelihoods;3;3;0.905473;2.56338;0.0;0.0;0.315972;1.0
143;Žene iz Cima idu na fitnes.;Women from Cim go to fitness class.;women;life together;1.0;2.0;;3;23.5;22.4;;23;5.0;0;22;4.0;Gender based activites;Rights & Dignity;Culture & Society;-1;1;0.905473;0.85446;1.725118;0.0;4.789474;0.947368
144;Udruga studenata zdravstvenog studija HSSA je kupila poklone za djecu smještenu na odjelu pedijatrije na Bijelom Brijegu.;The Association of Health Care Students bought gifts for kids in the pediatrics clinic in Bijeli Brijeg;youth;life together;1.0;1.0;1.0;3;19.4;23.3;;19;4.0;Student activities;23;3.0;0;Rights & Dignity;Rights & Dignity;0;1;0.905473;0.85446;0.862559;1.01676;2.757576;0.947368
145;Crkva u Cimu organizira ljetni festival, dan sv. Ante.;The church in Cim organizes the summer festival day of St. Anthony;men;life together;;3.0;;3;3.7;14.3;;3;7.0;Activities;14;3.0;Religious beliefs and practices;Culture & Society;Culture & Society;-3;3;0.905473;0.0;2.587678;0.0;0.152174;0.685714
146;Ljudi iz svih krajeva (Hrvatska, Mostar, BiH) došli su posjetiti Advent u Mostaru.;People from all parts (of Croatia, Mostar, B&H) came to visit the Advent [market] in Mostar;men;life together;1.0;1.0;1.0;3;3.7;20.4;;3;7.0;Activities;20;4.0;Tourism;Culture & Society;Economic Activity & Livelihoods;0;1;0.905473;0.85446;0.862559;1.01676;0.152174;1.0
147;Djecu, koja sudjeluju na matematičkim natjecanjima, nije briga iz koje je ulice/kvart njihov prijatelj.;Kids who participate at mathematics competitions don't care about which street or quarter their friend comes from.;men;life together;2.0;;1.0;3;19.4;15.5;;19;4.0;Student activities;15;5;Inclusion;Rights & Dignity;Culture & Society;2;1;0.905473;1.70892;0.0;1.01676;2.757576;1.022727
148;Jedan čovjek je samoinicijativno počeo kupiti smeće na Trimuši.;One man started picking up trash at Trimuša on his own initiative.;youth;life together;;2.0;1.0;3;18.3;3.2;;18;3.0;Environmental Restoration;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;-2;1;0.905473;0.0;1.725118;1.01676;2.625;0.442308
149;Osnovana je grupa „Zajedno za Trimušu“ nakon što ju je jedan čovjek samoinicijativno počeo čistiti.;The group called Together for Trimuša was created after one man started cleaning on his own initiative;youth;life together;2.0;;1.0;3;18.3;6.4;;18;3.0;Environmental Restoration;6;4.0;Activism;Rights & Dignity;Culture & Society;2;1;0.905473;1.70892;0.0;1.01676;2.625;0.8
150;Ljudi bez političke veze mogu dobiti posao u Mostaru.;People can get jobs in Mostar without political connections.;verification;life together;3.0;;;3;4.2;20.2;;4;2.0;Corruption;20;2.0;Hiring & employment;Rights & Dignity;Economic Activity & Livelihoods;3;3;0.905473;2.56338;0.0;0.0;8.4;1.0
178;U Cimu, kad je poljoprivreda u pitanju, uvijek se nađe susjed voljan uskočiti i pomoći drugome.;In Cim, when agriculture is in question, there's always a neighbor willing to jump in and help the other;men;life together;;;2.0;2;6.1;20.8;;6;10.0;Us V Them;20;8.0;Livelihoods;Culture & Society;Economic Activity & Livelihoods;0;2;0.603648;0.0;0.0;2.03352;0.035897;0.666667
179;Kad čovjek iz Cima pozove prijatelja da mu pomogne oko drva, on mu ne kaže da ne može, jer ga bole leđa.;When a man from Cim invites a friend to help him with wood [chopping for the winter]. the latter doesn't say he can't because he has back pain;men;life together;;2.0;;2;6.12;23.0;;6;12.0;Neighbor Relations;23;0;Health;Culture & Society;Rights & Dignity;-2;2;0.603648;0.0;1.725118;0.0;0.035897;0.631579
180;Kad netko dođe na druženje u Cim, ne gleda se na sat.;When someone comes to socialize/hang out in Cim, they don't look at their watch;men;life together;2.0;;;2;11.4;6.2;;11;4.0;Informal;6;2.0;Personal relationships;Culture & Society;Culture & Society;2;2;0.603648;1.70892;0.0;0.0;0.125086;0.533333
181;I pored posla, ljudi imaju dovoljno vremena za druženje.;Despite work, people have enough time to socialize.;men;life together;2.0;;;2;11.3;;;11;3.0;Individual Leisure;0;0;0;Culture & Society;0;2;2;0.603648;1.70892;0.0;0.0;0.125086;0.0
182;Mala djeca ne znaju ni za kakve predrasude.;Small children don't know about any prejudice;men;life together;2.0;;;2;15.5;;;15;5.0;Inclusion;0;0;0;Culture & Society;0;2;2;0.603648;1.70892;0.0;0.0;0.551515;0.0
183;Djeca u Mostaru se druže izvan društvenih mreža.;Kids in Mostar hang out outside social media networks.;men;life together;2.0;;;2;11.0;6.5;;11;0.0;Socializing;6;5;Technology;Culture & Society;Culture & Society;2;2;0.603648;1.70892;0.0;0.0;0.125086;0.533333
184;Susjedi u Cimu piju kavu jedni kod drugih.;The neighbors in Cim drink coffee at one another's places.;youth;life together;1.0;;1.0;2;6.12;11.4;;6;12.0;Neighbor Relations;11;4.0;Informal;Culture & Society;Culture & Society;1;1;0.603648;0.85446;0.0;1.01676;0.035897;0.618557
185;Kada netko u Cimu ima svadbu, poziva sve susjede u svatove.;When someone in Cim has a wedding, he invites all neighbors.;youth;life together;1.0;1.0;;2;6.12;11.4;;6;12.0;Neighbor Relations;11;4.0;Informal;Culture & Society;Culture & Society;0;1;0.603648;0.85446;0.862559;0.0;0.035897;0.618557
186;Ljudi sa zapadne strane se ne osjećaju nelagodno kad idu na istočnu stranu.;People from the west side don't feel uncomfortable when they go to the east side.;youth;life together;1.0;;1.0;2;2.3;1.3;;2;3.0;Movement;1;3.0;Social;Security;Culture & Society;1;1;0.603648;0.85446;0.0;1.01676;24.266667;0.378378
187;Udruženje „Zajedno za naš grad“ priprema obroke za potrebite.;The association Together for our City makes meals for those in need.;youth;life together;2.0;;;2;6.1;9.7;;6;10.0;Us V Them;9;7.0;Citizens' associations;Culture & Society;Rights & Dignity;2;2;0.603648;1.70892;0.0;0.0;0.035897;0.375
188;Mladi bračni parovi iz Cima se druže svakog tjedna.;A young married couple from Cim hang out each week;women;life together;2.0;;;2;6.2;11.4;;6;2.0;Personal relationships;11;4.0;Informal;Culture & Society;Culture & Society;2;2;0.603648;1.70892;0.0;0.0;0.035897;0.618557
