#;Indicator_BHS;Indicator English;Focus Group;Concept;M;F;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
257;U Mostaru ljudi idu i na pogrebe i na dženaze.;In Mostar, people go to both Catholic and Muslim funerals.;men;life together;1;0;1;2;14.2;1.3;;14;2;Interfaith relations;1;3;Social;Culture & Society;Culture & Society;1;0;0.00;0.00;0.00;0.00;0.00;0.00
118;Mediji svojim nacionalističkim izvještavanjem* ne odvlače čovjeka od čovjeka.;The media, with its nationalist reporting *, does not distract man from man.;men;life together;1;0;0;1;13;8.1;;13;0;Media;8;10;Effect;Culture & Society;Culture & Society;1;0;0.00;0.00;0.00;0.00;0.00;0.00
30;Djeca u Mostaru se kroz bavljenje kolektivnim sportovima (rukomet, i sl.) upoznavaju djecu iz čitavog grada.;Children in Mostar meet peers from all over the city through team sports (handball, etc.);women;life together;2;0;3;5;12.4;15.5;;12;4;Inclusion;15;5;Inclusion;Culture & Society;Culture & Society;2;0;0.00;0.00;0.00;0.00;0.00;0.00
172;Plesni klub B-Dance sarađuje s plesnim klubom Mo-Stars.;"""B-Dance"" and ""Mo-Stars"" dance clubs cooperate";youth;life together;0;0;1;1;12.4;9.7;;12;4;Inclusion;9;7;Citizens' associations;Culture & Society;Rights & Dignity;0;0;0.00;0.00;0.00;0.00;0.00;0.00
173;Plivački klubovi sarađuju;Swimming clubs cooperate;youth;life together;0;0;1;1;12.4;9.7;;12;4;Inclusion;9;7;Citizens' associations;Culture & Society;Rights & Dignity;0;0;0.00;0.00;0.00;0.00;0.00;0.00
270;U Mostaru postoje višenacionalni sportski klubovi.;There are multi-national sports clubs in Mostar;men;life together;1;0;1;2;12.4;1.3;;12;4;Inclusion;1;3;Social;Culture & Society;Culture & Society;1;0;0.00;0.00;0.00;0.00;0.00;0.00
221;Sportski tereni u Mostaru su besplatni za treninge djece (Kantarevac, Gradski bazen);Sports fields are free of charge for children's practices in Mostar (SC Kantarevac, Public Swimming Pool);women;life together;3;1;3;7;12.2;15;;12;2;Public support for sports;15;0;Youth;Culture & Society;Culture & Society;2;1;0.00;0.00;0.00;0.00;0.00;0.00
71;Klizalište u Velikom parku je besplatno za svu djecu.;The ice-skating rink at Zrinjevac Park is free for all children;women;life together;0;1;1;2;12.2;15;;12;2;Public support for sports;15;0;Youth;Culture & Society;Culture & Society;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
159;Odrasli ne pljuju po sportskim terenima, koje poslije koriste rukometašice ŽRK Zrinjski;Adults don't spit on sports fields used by handball team ŽRK Zrinjski;women;life together;0;1;0;1;12.1;3.8;;12;10;Access to facilities;3;8;Historic cultural monuments;Culture & Society;Culture & Society;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
149;Navijači Veleža i Zrinskog sarađuju jedni s drugima;There is a cooperation between the supporters of Velež and Zrinjski;youth;life together;1;0;2;3;12;6.9;;12;0;Sport;6;9;Ethno-religious identity;Culture & Society;Culture & Society;1;0;0.00;0.00;0.00;0.00;0.00;0.00
215;Rukometni klubovi iz Mostara se dobro slažu;All handball teams in Mostar get along well;youth;life together;0;0;2;2;12;6.3;;12;0;Sport;6;3;Social Trust;Culture & Society;Culture & Society;0;0;0.00;0.00;0.00;0.00;0.00;0.00
23;Čovjeku nije sasvim dovoljno da bude sam kući i prati vijesti.;It is not enough for someone just to be at home alone and watch the news;men;life together;0;0;1;1;11.3;6;;11;3;Leisure;6;0;Social Relations;Culture & Society;Culture & Society;0;0;0.00;0.00;0.00;0.00;0.00;0.00
196;Postoji prostorija za omladinu gdje su svi dobrodošli u Podhumu;There is a space for Youth in Podhum where all are welcome;youth;life together;0;0;1;1;11.1;15.5;;11;10;Cafes and Space;15;5;Inclusion;Culture & Society;Culture & Society;0;0;0.00;0.00;0.00;0.00;0.00;0.00
291;U prostoriji za omladinu u Podhumu ima klub čitalaca gdje razmjenjuju se ideje;There is a readers' club in the youth room in Podhum where ideas are exchanged;youth;life together;0;0;1;1;11.1;11.4;;11;10;Cafes and Space;11;4;Informal;Culture & Society;Culture & Society;;;0.00;0.00;0.00;0.00;0.00;0.00
253;U kafićima parovi pričaju jedno s drugim, a ne tipkaju na telefon.;In cafes, couples talk to each other instead of typing on the phone.;men;life together;0;0;1;1;11.1;6.5;;11;10;Cafes and Space;6;5;Technology;Culture & Society;Culture & Society;0;0;0.00;0.00;0.00;0.00;0.00;0.00
200;Postoji više pozorišta i kazališta u Mostaru, u koje je svako dobrodošao.;There are more theatres in Mostar in which everyone is warmly welcome.;women;life together;0;1;1;2;11.1;6.3;;11;10;Cafes and Space;6;3;Social Trust;Culture & Society;Culture & Society;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
323;Žena iz Podhuma ide i u kazalište i u pozorište.;A woman from Podhum goes to both theatres;women;life together;0;0;1;1;11.1;1;;11;10;Cafes and Space;1;0;Integration and Acceptance;Culture & Society;Culture & Society;;;0.00;0.00;0.00;0.00;0.00;0.00
171;Penzioneri mogu priuštiti odlazak u pozorište/kazalište barem jednom mjesečno, jer karta košta 5 KM.;Retired people can afford going to the theater at least once a month since the ticket costs 5 BAM.;women;life together;2;0;0;2;11;;;11;0;Socializing;0;0;0;Culture & Society;0.00;2;0;0.00;0.00;0.00;0.00;0.00;0.00
153;Nema toliko (15000) nezaposlenih.;There aren't many unemployed people (15 000);youth;life together;0;0;1;1;10.9;20.2;;10;9;Unemployment;20;2;Hiring & Employment;Rights & Dignity;Economic Activity & Livelihoods;0;0;0.00;0.00;0.00;0.00;0.00;0.00
9;Svi doktori i sestre su obilazili pacijenta Hrvata koji je bio smješten u Južnom logoru.;All doctors and nurses took care of a Croat patient while he was hospitalized in Južni logor;men;life together;1;0;2;3;10.8;6.9;;10;8;Medical;6;9;Ethno-religious identity;Rights & Dignity;Culture & Society;1;0;0.00;0.00;0.00;0.00;0.00;0.00
