#;Indicator_BHS;Indicator English;Focus Group;Concept;M;F;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
61;Kada ljudi, ako im je potreban novac, pitaju, a ne pljačkaju;When people, if they need money, ask for it rather than robbing.;youth;peace;1;2;1;4;4.3;;;4;3;Non-violent Crime;0;0;0;Rights & Dignity;0;-1;1;1.652173913;1.838709677;2.124223602;1.06875;1.612903226;0
134;Muškarac ne pljačka kladionicu za 70 KM;A man does not rob a betting shop for 70 BAM;youth;peace;0;0;1;1;4.3;;;4;3;Non-violent Crime;0;0;0;Rights & Dignity;0;0;0;0.413043478;0;0;1.06875;0.403225806;0
85;Ljudi koji u Mostaru zagovaraju sukobe su sankcionisani.;People who advocate for conflicts in Mostar are sanctioned;men;peace;0;1;1;2;4.4;;;4;4;Violent Crime;0;0;0;Rights & Dignity;0;-1;0;0.826086957;0;1.062111801;1.06875;0.806451613;0
316;Vozila policije ne stoje raspoređena duž Bulevara vikendom navečer;Police cars are not parked along the Boulevard on weekends;women;peace;0;1;0;1;5.1;3;;5;10;Accountability;3;0;Public space;Armed Actors;Culture & Society;;;0.413043478;0;1.062111801;0;0.48;0.454545455
176;Policija ne stoji i gleda dok se odvijaju navijački sukobi;The police are not just standing by and watching conflicts between the supporters of the teams;youth;peace;0;1;0;1;5.1;4.1;;5;10;Accountability;4;10;Sport & Hooliganism;Armed Actors;Rights & Dignity;-1;0;0.413043478;0;1.062111801;0;0.48;0.403225806
179;Policija radi svoj posao u Mostaru jer su izašli iz kladionica/gostionica;Police do their job because they left betting shops and pubs;women;peace;0;1;0;1;5.1;5.3;;5;10;Accountability;5;3;Interactions;Armed Actors;Armed Actors;-1;0;0.413043478;0;1.062111801;0;0.48;0.48
177;Policija nije prisutna u Podhumu samo kad kroz njega prolazi na neku intervenciju u drugom dijelu grada, kako bi zaobišli semafore.;The police are not present in Podhum except when they respond to calls in other parts of the city, avoiding traffic lights;women;peace;0;0;1;1;5.1;;;5;10;Accountability;0;0;0;Armed Actors;0;0;0;0.413043478;0;0;1.06875;0.48;0
178;Policija pronalazi počinitelje krivičnih djela u Podhumu.;Police find perpetrators of crimes in Podhum.;women;peace;1;0;1;2;5.3;4;;5;3;Interactions;4;0;Criminality and Legal Enforcement;Armed Actors;Rights & Dignity;1;0;0.826086957;1.838709677;0;1.06875;0.96;0.806451613
174;Policija dolazi u Podhum na pozive građana kad se poćini neko djelo;Police come to Podhum at the call of citizens when an act is committed;women;peace;1;1;0;2;5.3;4;;5;3;Interactions;4;0;Criminality and Legal Enforcement;Armed Actors;Rights & Dignity;0;0;0.826086957;1.838709677;1.062111801;0;0.96;0.806451613
238;Svaki kvart u gradu ima jednog patrolnog policajca;Each neighborhood in the city has a patrol officer;women;peace;0;1;1;2;5.3;;;5;3;Interactions;0;0;0;Armed Actors;0;-1;0;0.826086957;0;1.062111801;1.06875;0.96;0
