#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
82;Mladići iz Blagaj treniraju fudbal u Blagaju;Blagaj's young men play football in Blagaj.;youth;peace;;3.0;1.0;4;12.3;15.1;;12;3.0;Activities;15;10.0;Engagement;Culture & Society;Culture & Society;-3.0;1.0;1.056058;0.0;2.234694;0.890244;2.034843;1.416667
83;U Blagaju nema navijačkih incidenata;There are no fan incidents in Blagaj.;men;peace;1.0;1.0;2.0;4;12.4;4.1;;12;4.0;Inclusion;4;10.0;Sport & Hooliganism;Culture & Society;Rights & Dignity;;;1.056058;0.756477;0.744898;1.780488;2.034843;0.969697
84;Djece se ne odgajaju da se međusobne mrze;Children are not raised to hate each other.;youth;peace;1.0;2.0;1.0;4;1.1;19.5;;1;10.0;Personal value;19;5;Family-based Education;Culture & Society;Rights & Dignity;;;1.056058;0.756477;1.489796;0.890244;0.195318;1.818182
95;Kad sretneš nekoga koga ne znaš, ako ga pozdraviš, znaš da će te pozdraviti nazad;When you meet someone you don't know, if you greet them, you know they will greet you back.;youth;peace;1.0;1.0;1.0;3;1.3;;;1;3.0;Social;0;0;0;Culture & Society;0;0.0;1.0;0.792043;0.756477;0.744898;0.890244;0.146488;0.0
96;U mom komšiluku, imala sam partije sa drugim vjerama;In my neighborhood, I've had parties with people of various religions.;youth;peace;;3.0;;3;6.9;1.1;;6;9.0;Ethno-religious identity;1;10.0;Personal value;Culture & Society;Culture & Society;;;0.792043;0.0;2.234694;0.0;0.131453;0.678261
97;Omladina iz Blagaja žele uspieh za sve porodice, kao i svoju porodicu;Blagaj's youth wish success for all families, just like their own.;youth;peace;2.0;1.0;;3;15.0;1.1;;15;0.0;Youth;1;10.0;Personal value;Culture & Society;Culture & Society;1.0;1.0;0.792043;1.512953;0.744898;0.0;0.536765;0.678261
98;Mladi ljudi imaju više prilika da čuju drugu stranu priče;Young people have more opportunities to hear the other side of the story.;men;peace;;3.0;;3;15.0;7.4;;15;0.0;Youth;7;4.0;Truth Telling;Culture & Society;Dealing with the Past;-3.0;3.0;0.792043;0.0;2.234694;0.0;0.536765;0.906977
99;Eko centar Blagaj je mjesto okupljanja i posjećuje ga veliki broj gostiju;Blagaj Eco Center is a gathering spot and a significant number of guests visit it.;men;peace;;1.0;2.0;3;9.7;20.4;;9;7.0;Citizens' associations;20;4.0;Tourism;Rights & Dignity;Economic Activity & Livelihoods;;;0.792043;0.0;0.744898;1.780488;0.352941;1.02
100;Kada ljudi dođu u STK i Eko centar kažu da je tu predivno;When people come to the Sports and Tourist Klub and Eco Center, they say that there it is wonderful.;men;peace;;2.0;1.0;3;9.7;3.8;;9;7.0;Citizens' associations;3;8.0;Condition;Rights & Dignity;Culture & Society;-2.0;1.0;0.792043;0.0;1.489796;0.890244;0.352941;0.6
101;Svim ljudima je potreban prostor za druženje;A place for socializing is important for all people.;women;peace;1.0;2.0;;3;11.1;1.3;;11;10.0;Cafes and Space;1;3.0;Social;Culture & Society;Culture & Society;;;0.792043;0.756477;1.489796;0.0;29.2;0.678261
102;Bošnjačka porodica iz Blagaja i katolička porodica idu jedne drugima na praznike;The Bosniak family from Blagaj and the Catholic family go to each other for holidays.;women;peace;2.0;1.0;;3;14.2;6.2;;14;2.0;Interfaith relations;6;2.0;Personal relationships;Culture & Society;Culture & Society;;;0.792043;1.512953;0.744898;0.0;2.28125;1.040816
103;Bošnjakinja iz Blagaja pravi prijateljici Hrvatici baklavu za Božic;For Christmas, a Bosniak woman from Blagaj makes baklava for a Croatian friend.;women;peace;1.0;1.0;1.0;3;14.2;6.2;;14;2.0;Interfaith relations;6;2.0;Personal relationships;Culture & Society;Culture & Society;;;0.792043;0.756477;0.744898;0.890244;2.28125;1.040816
