#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
74;Policija sankcioniše roditelje maloljetnika koji prave navijačke grafite u gradu;The police sanction the parents of minors who make football fan graffiti in the city.;youth;peace;2.0;1.0;2.0;5;4.1;5.2;;4;10.0;Sport & Hooliganism;5;2.0;Interactions;Rights & Dignity;Armed Actors;1;1;1.192197;1.149826;0.9375;1.441048;0.133517;1.020408
75;Policija izađe na teren kada dobije poziv građana;The police come to the place where trouble is caused when the citizens call them.;women;peace;4.0;1.0;;5;5.2;5.1;;5;2.0;Interactions;5;10.0;Accountability;Armed Actors;Armed Actors;3;1;1.192197;2.299652;0.9375;0.0;0.420918;1.020408
76;U Cernici nema potrebe za policijskim racijama, jer nema droge;There is no need for police raids in Cernica, because there aren’t any drugs.;women;peace;3.0;2.0;;5;16.2;;;16;2.0;Policing;0;0;0;Rights & Dignity;0;1;2;1.192197;1.724739;1.875;0.0;0.675676;0.0
77;Pogrešna naručena pjesma ne dovodi do bitke u kafiću između mladih muškaraca sa istočne i zapadne strane grada;A fight between young men from the East and West side isn’t caused by a song which was accidentally asked to play in a bar.;women;peace;;;5.0;5;4.4;6.1;;4;4.0;Violent Crime;6;10.0;Us V Them;Rights & Dignity;Culture & Society;0;5;1.192197;0.0;0.0;3.60262;0.133517;1.106557
78;U kafiću alkohol ne dovodi do tuče;Alcohol does not lead to a fight in a cafe;women;peace;4.0;;1.0;5;4.4;16.4;;4;4.0;Violent Crime;16;4.0;Usage;Rights & Dignity;Rights & Dignity;4;1;1.192197;2.299652;0.0;0.720524;0.133517;0.495495
79;Roditelji djeci ne usađuju sjeme mržnje kroz zabranu da se druže s djecom druge nacije (problematična, bolesna, siromašna);Parents do not instill hatred in their children by banning them from associating with children of other nations (problematic, sick, poor);verifi.;peace;1.0;1.0;3.0;5;15.2;1.0;2022-02-12 00:00:00;15;2.0;Infrastructure;1;0;Integration and Acceptance;Culture & Society;Culture & Society;0;1;1.192197;0.574913;0.9375;2.161572;0.480769;1.111111
91;Niko ne nagovara djecu od 17-18 godina sa zapadne strane da svakog februara na Partizanskom kamenuju ljude s istočne strane, koji dolaze da obilježe oslobođenje Mostara;No one persuades 17 or 18 year-olds from the West side to go to the Partisan cemetery and throw rocks at people from the East side, who come to mark the liberation of Mostar.;youth;peace;;1.0;3.0;4;4.4;6.1;;4;4.0;Violent Crime;6;10.0;Us V Them;Rights & Dignity;Culture & Society;-1;1;0.953757;0.0;0.9375;2.161572;0.106813;0.885246
92;Navijački grafiti ne koriste simbole mržnje, kao što su kukasti križevi;Fan-made grafitti does not use hate symbols, like for example swastikas.;youth;peace;2.0;;2.0;4;4.1;8.0;;4;10.0;Sport & Hooliganism;8;0;Nationalism;Rights & Dignity;Culture & Society;2;2;0.953757;1.149826;0.0;1.441048;0.106813;1.333333
93;Prostorije MZ Cernica su na istom mjestu gdje su i prije bile;The premises of the Mjesna zajednica of Cernica is the same place as they were before.;youth;peace;3.0;1.0;;4;9.6;;;9;6.0;Mjesna zajednica;0;0;0;Rights & Dignity;0;2;1;0.953757;1.724739;0.9375;0.0;0.557432;0.0
94;Djeca i mladi s Bulevara i iz Cernice su sami skupljali novac da kupe zemlju za igralište;Children and the youth from Bulevar and Cernica raised money by themselves to buy soil to build a playground.;youth;peace;2.0;;2.0;4;3.8;15.1;;3;8.0;Condition;15;10.0;Engagement;Culture & Society;Culture & Society;2;2;0.953757;1.149826;0.0;1.441048;0.241228;1.128205
95;Djeca na Bulevaru su organizovala turnir;A (football) tournament was organized by the children from Bulevar.;youth;peace;2.0;;2.0;4;15.1;12.3;;15;10.0;Engagement;12;3.0;Activities;Culture & Society;Culture & Society;2;2;0.953757;1.149826;0.0;1.441048;0.384615;0.727273
96;Park na Bulevaru nije „podjetinjio“, jer ne privlači samo djecu do 10 godina;The park in Bulevar isn’t equipped just for children 10 years and younger.;youth;peace;1.0;;3.0;4;3.1;3.8;;3;10.0;Open Spaces;3;8.0;Condition;Culture & Society;Culture & Society;1;1;0.953757;0.574913;0.0;2.161572;0.241228;0.842105
97;Vlasnici pasa u Cernici čiste nakon što njihovi ljubimci izvrše nuždu;When dogs relieve themselves in Cernica, their owners clean it up immediately.;men;peace;2.0;2.0;;4;10.7;6.12;;10;7.0;Animals;6;12.0;Neighbor Relations;Rights & Dignity;Culture & Society;0;2;0.953757;1.149826;1.875;0.0;8.25;0.885246
98;U Mostaru ima dovoljno kamera, pogotovo na zabačenim mračnim mjestima;There are enough surveillance cameras in Mostar, especially in the dark, isolated areas.;youth;peace;1.0;2.0;1.0;4;2.4;17.0;;2;4.0;Technology;17;0;Infrastructure;Security;Economic Activity & Livelihoods;-1;1;0.953757;0.574913;1.875;0.720524;0.718954;0.387097
99;Ljudi ne parkiraju auta ispred vrata u Cernici tako da ne blokiraju ulaz u prodavnice (kuće, frizerski salon);People don’t park their cars in front of a building entrance in Cernica, blocking the entrance to shops (homes, hair salon).;youth;peace;1.0;1.0;2.0;4;21.1;;;21;10.0;Parking;0;0;0;Culture & Society;0;0;1;0.953757;0.574913;0.9375;1.441048;0.554622;0.0
