#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
89;Djeca se u Zaliku igraju na ulici.;Kids in Zalik play on the streets.;youth;life together;3.0;2.0;2.0;7;3.1;15.0;;3;10.0;Open Spaces;15;0;Youth;Culture & Society;Culture & Society;1.0;2.0;1.389135;2.026415;1.884211;0.800895;0.391562;1.241935
90;Dječak sa istočne strane trenira na zapadnoj strani;A boy from the east side trains on the west side.;women;life together;;6.0;1.0;7;15.5;12.0;;15;5.0;Inclusion;12;0;Sport;Culture & Society;Culture & Society;;;1.389135;0.0;5.652632;0.400447;0.459311;0.7
91;Roditelji ne prepuštaju djecu društvenim mrežama.;Parents do not leave their children to be raised by social networks.;youth;life together;5.0;1.0;1.0;7;15.2;6.5;2022-02-12 00:00:00;15;2.0;Infrastructure;6;5;Technology;Culture & Society;Culture & Society;4.0;1.0;1.389135;3.377358;0.942105;0.400447;0.459311;1.232
92;U Zalik dolaze i osobe koje ne žive u Zaliku.;People who don't live in Zalik also come to Zalik.;women;life together;;5.0;2.0;7;2.3;6.3;;2;3.0;Movement;6;3.0;Social Trust;Security;Culture & Society;-5.0;2.0;1.389135;0.0;4.710526;0.800895;1.930663;1.232
93;Žena želi očistiti svoju ulicu, jer ona tu živi.;A woman wants to clean up her street because she lives there.;women;life together;;5.0;2.0;7;18.3;22.0;;18;3.0;Environmental Restoration;22;0;Gender;Rights & Dignity;Culture & Society;-5.0;2.0;1.389135;0.0;4.710526;0.800895;0.511846;1.166667
94;Ljudi iz Gornjeg Zalika ne iznose svoje smeće noć prije, kako ga vjetar ne bi raznio posvuda.;People who live in Gornji Zalik (Upper Zalik) don't leave their trash outside the night before, so the wind doesn't blow it away.;women;life together;6.0;;1.0;7;18.2;3.2;;18;2.0;Waste prevention;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;;;1.389135;4.05283;0.0;0.400447;0.511846;0.875
95;Žene se ne boje kretati po Zaliku kad je mrak, jer ima rasvjete.;Women aren't afraid to walk late at night in Zalik because there are street lights.;women;life together;1.0;2.0;4.0;7;17.3;22.3;;17;3.0;Public Lighting;22;3.0;Safety and comfort;Economic Activity & Livelihoods;Culture & Society;;;1.389135;0.675472;1.884211;1.60179;1.127813;1.166667
110;Kada se nečiji pas izgubi, komšiluk dojavljuje gdje ga je vidio kako bi se što prije pronašao;When someone's dog gets lost, the whole neighborhood notifies where they saw it, so it gets found as soon as possible.;youth;life together;;1.0;5.0;6;6.1;10.7;2022-02-14 00:00:00;6;10.0;Us V Them;10;7.0;Animals;Culture & Society;Rights & Dignity;-1.0;1.0;1.190687;0.0;0.942105;2.002237;0.097636;1.015385
111;Nemamo nikakvih problema sa prijateljima sa druge strane.;We don't have any issues with friends from the other side of the city.;youth;life together;3.0;;3.0;6;6.2;6.9;;6;2.0;Personal relationships;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;3.0;3.0;1.190687;2.026415;0.0;1.201342;0.097636;1.056
112;Ljudi nisu navikli na loše uslove života. (loša infrastruktura);People aren't used to poor living conditions. (bad infrastructure);youth;life together;5.0;1.0;;6;17.0;;;17;0.0;Infrastructure;0;0;0;Economic Activity & Livelihoods;0;;;1.190687;3.377358;0.942105;0.0;0.966697;0.0
113;Svi stanari u Zaliku plaćaju za čišćenje zgrade.;All tenants in Zalik pay for the buildings to get cleaned;men;life together;3.0;3.0;;6;3.2;6.1;2022-02-14 00:00:00;3;2.0;Public Ownership;6;10.0;Us V Them;Culture & Society;Culture & Society;0.0;3.0;1.190687;2.026415;2.826316;0.0;0.335625;1.056
114;Kad odeš na kafu sa drugaricama, nisu svi oko tebe na telefonima, nego su razgovaraju.;When you go for coffee with your friends, people around you aren't on their phones, but are talking to each other.;women;life together;2.0;2.0;2.0;6;11.1;6.5;;11;10.0;Cafes and Space;6;5;Technology;Culture & Society;Culture & Society;;;1.190687;1.350943;1.884211;0.800895;0.4027;1.056
115;Nije se sve ugasilo u Zaliku, jer se zatvorio kafić Špago.;"Not everything ""turned off"" in Zalik because the cafe Špago closed.";men;life together;2.0;3.0;1.0;6;11.1;;;11;10.0;Cafes and Space;0;0;0;Culture & Society;0;;;1.190687;1.350943;2.826316;0.400447;0.4027;0.0
116;Postoji neka novčana pomoć kroz donacije da se napravi centar za mlade u Zaliku.;There exists some financial help through donations to assist in building a youth center in Zalik.;men;life together;3.0;2.0;1.0;6;9.8;15.2;;9;8.0;Access to public funds;15;2.0;Infrastructure;Rights & Dignity;Culture & Society;1.0;1.0;1.190687;2.026415;1.884211;0.400447;0.730612;1.064516
117;Bolnica Južni logor ima odlične stručnjake.;"Cantonal Hospital ""Dr. Safet Mujić"" has amazing experts.";men;life together;2.0;1.0;3.0;6;23.2;;2022-02-12 00:00:00;23;2.0;0;0;0;0;Rights & Dignity;0;;;1.190687;1.350943;0.942105;1.201342;7.16;0.0
118;Čovjeku na izborima nije dozvoljeno da krade glasove posmatračima ispred očiju.;A person is not allowed to steal votes during elections in front of the observer's eyes.;men;life together;;;6.0;6;9.3;4.2;;9;3.0;Political functionality;4;2.0;Corruption;Rights & Dignity;Rights & Dignity;0.0;6.0;1.190687;0.0;0.0;2.402685;0.730612;0.947368
119;Dječak koji trenira na zapadnoj strani sreće svoje drugare s treninga i na istočnoj strani;A boy who trains on the west side meets his friends who train with him on the east side too.;women;life together;4.0;2.0;;6;2.3;15.5;;2;3.0;Movement;15;5;Inclusion;Security;Culture & Society;2.0;2.0;1.190687;2.701887;1.884211;0.0;1.654854;1.064516
120;Mladi sa istočne strane izlaze u Cube;The young people from the east side go to the club, Golden Cube.;youth;life together;;2.0;4.0;6;11.1;2.3;;11;10.0;Cafes and Space;2;3.0;Movement;Culture & Society;Security;;;1.190687;0.0;1.884211;1.60179;0.4027;1.118644
121;U Zaliku, stanovnici zajedno učestvuju u svim akcijama.;In Zalik, citizens participate together in all actions/activities.;youth;life together;4.0;;2.0;6;6.4;3.2;;6;4.0;Activism;3;2.0;Public Ownership;Culture & Society;Culture & Society;4.0;2.0;1.190687;2.701887;0.0;0.800895;0.097636;0.75
122;Djeca se ne boje kretati po Zaliku kad je mrak, jer ima rasvjete.;Kids aren't afraid to walk in Zalik during the night because there are street lights.;women;life together;1.0;;5.0;6;17.3;3.3;;17;3.0;Public Lighting;3;3.0;Comfort;Economic Activity & Livelihoods;Culture & Society;;;1.190687;0.675472;0.0;2.002237;0.966697;0.75
141;U Zaliku nema sukoba među ljudima koji tu žive;In Zalik there are no conflicts between the people who live there.;youth;life together;3.0;1.0;1.0;5;4.4;6.3;;4;4.0;Violent Crime;6;3.0;Social Trust;Rights & Dignity;Culture & Society;;;0.992239;2.026415;0.942105;0.400447;1.744639;0.88
142;Čovjek iz Zalika ne voli izraze „ova“ i „ona“ strana.;"The man from Zalik doesn't like the phrases ""this"" and ""that"" side (of the city.)";youth;life together;1.0;2.0;2.0;5;6.8;1.3;;6;8.0;Language;1;3.0;Social;Culture & Society;Culture & Society;;;0.992239;0.675472;1.884211;0.800895;0.081364;0.759494
143;Brakovi se ne razvode radi neimaštine.;Marriages do not divorce broken due to poverty.;women;life together;2.0;3.0;;5;6.2;20.8;;6;2.0;Personal relationships;20;8.0;Livelihoods;Culture & Society;Economic Activity & Livelihoods;-1.0;2.0;0.992239;1.350943;2.826316;0.0;0.081364;1.118421
144;Komos dolazi da čisti Gornji Zalik.;"Public firm ""Komos"" comes to clean Gornji Zalik (Upper Zalik).";youth;life together;2.0;2.0;1.0;5;10.6;18.1;;10;6.0;Public utilities;18;10.0;Waste management Services;Rights & Dignity;Rights & Dignity;;;0.992239;1.350943;1.884211;0.400447;1.251748;0.661765
