#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
85;Organiziraju se događaji za osobe sa Down sindromom.;Events are organized for people with Down syndrome.;youth;life together;2.0;;4.0;6;3.7;23.6;;3;7.0;Activities;23;6.0;0;Culture & Society;Rights & Dignity;2;2;1.623529;2.033149;0.0;2.351438;0.10288;2.0
86;Za vrijeme korone, svi u ulazu na Bijelom Brijegu su pomagali starijim susjedima (odlazili im u kupovinu itd.);During COVID, building residents at Bijeli Brijeg joined in to assist their elderly neighbors (went shopping for them, etc.);women;life together;2.0;2.0;2.0;6;6.6;6.1;2022-02-14;6;6.0;Inter-generational Relations;6;10.0;Us V Them;Culture & Society;Culture & Society;0;2;1.623529;2.033149;2.044444;1.175719;0.12646;1.391753
97;Starijim umirovljenicima su mladi susjedi donosili namirnice tijekom pandemije.;During the pandemic, young neighbors brought groceries to older retirees.;men;life together;4.0;;1.0;5;6.6;6.1;2022-02-14;6;6.0;Inter-generational Relations;6;10.0;Us V Them;Culture & Society;Culture & Society;4;1;1.352941;4.066298;0.0;0.587859;0.105384;1.159794
98;U 90% posto slučaja, ljudi u zgradi mogu se dogovoriti oko neke akcije.;Building residents can usually agree on a course of action in 90% of cases.;youth;life together;3.0;;2.0;5;6.12;3.2;;6;12.0;Neighbor Relations;3;2.0;Public Ownership;Culture & Society;Culture & Society;3;2;1.352941;3.049724;0.0;1.175719;0.105384;1.118721
99;Ljudi svi, kao nekada, piju kavu zajedno ispred kuća.;As usual, everyone gathers at home to enjoy coffee together.;women;life together;1.0;3.0;1.0;5;11.3;6.12;;11;3.0;Individual Leisure;6;12.0;Neighbor Relations;Culture & Society;Culture & Society;-2;1;1.352941;1.016575;3.066667;0.587859;0.08049;1.159794
100;Ljudi različitih vjera druže se zajedno.;People of many religions socialize together.;youth;life together;2.0;2.0;1.0;5;11.3;6.9;;11;3.0;Individual Leisure;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;0;1;1.352941;2.033149;2.044444;0.587859;0.08049;1.159794
101;Čitav grad koristi Trimušu - pluća grada.;Trimusha - the city's lungs - is used by the entire city.;men;life together;2.0;1.0;2.0;5;3.1;11.3;;3;10.0;Open Spaces;11;3.0;Individual Leisure;Culture & Society;Culture & Society;1;1;1.352941;2.033149;1.022222;1.175719;0.085733;0.885827
102;Mladi su napravili stepenice ka Neretvi na Skakalima.;On Skakala, the young people built steps leading to the Neretva.;men;life together;;3.0;2.0;5;15.1;3.8;;15;10.0;Engagement;3;8.0;Condition;Culture & Society;Culture & Society;-3;2;1.352941;0.0;3.066667;1.175719;0.218424;1.118721
103;U Mostaru postoji stalni prostor gdje su izloženi radovi ljudi koji se bave malim biznisima.;In Mostar, there is a permanent exhibition hall where small company owners' work can be shown.;youth;life together;2.0;1.0;2.0;5;20.6;17.2;;20;6.0;Small businesses;17;2.0;Public Spaces;Economic Activity & Livelihoods;Economic Activity & Livelihoods;1;1;1.352941;2.033149;1.022222;1.175719;9.583333;1.170213
104;Političari usmjeravaju novac natrag u zajednicu.;Money is returned to the community by politicians.;men;life together;3.0;1.0;1.0;5;9.3;9.8;;9;3.0;Political functionality;9;8.0;Access to public funds;Rights & Dignity;Rights & Dignity;2;1;1.352941;3.049724;1.022222;0.587859;1.236559;0.967742
105;Ni na velikim okupljanjima, kakav je doček Nove godine na otvorenom, nema sigurnosnih problema.;There are no security issues even during enormous gatherings, such as New Year's Eve in the open air.;men;life together;1.0;1.0;3.0;5;2.0;3.7;;2;0.0;Tranquility/Security;3;7.0;Activities;Security;Culture & Society;0;1;1.352941;1.016575;1.022222;1.763578;184.0;1.118721
125;Stanari jednog ulaza na Bijelom Brijegu pomažu jedni drugima ukoliko dođe do smrtnog slučaja.;In the case of a death, residents of one building entrance at Bijeli Brijeg assist one another.;men;life together;1.0;1.0;2.0;4;6.1;1.1;2022-02-14;6;10.0;Us V Them;1;10.0;Personal value;Culture & Society;Culture & Society;0;1;1.082353;1.016575;1.022222;1.175719;0.084307;0.666667
126;Ljudi iz čitavog Mostara dolaze da se druže kod Mrtvare navečer.;In the evenings, people from all across Mostar gather at Mrtvara.;men;life together;;2.0;2.0;4;11.4;;;11;4.0;Informal;0;0;0;Culture & Society;0;-2;2;1.082353;0.0;2.044444;1.175719;0.064392;0.0
127;Čišćenju Bijelog Brijega pridružilo se puno ljudi.;The cleanup of Bijeli Brijeg drew a large crowd.;youth;life together;2.0;1.0;1.0;4;18.3;3.2;;18;3.0;Environmental Restoration;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;1;1;1.082353;2.033149;1.022222;0.587859;6.45614;0.894977
128;Postoje ljudi u Mostaru koji svojim idejama inspiriraju druge.;There are people in Mostar who inspire others with their ideas.;youth;life together;3.0;;1.0;4;6.4;15.0;;6;4.0;Activism;15;0;Youth;Culture & Society;Culture & Society;3;1;1.082353;3.049724;0.0;0.587859;0.084307;0.641975
129;U Mostaru postoje udruge za umirovljenike gdje se svi druže (kroz ples, vježbanje itd.).;There are retiree associations in Mostar where everyone congregates (through dancing, exercising, etc.).;women;life together;1.0;2.0;1.0;4;10.5;11.2;;10;5.0;Retirees;11;2.0;Social;Rights & Dignity;Culture & Society;-1;1;1.082353;1.016575;2.044444;0.587859;7.747368;0.708661
130;Vidi se veliko poboljšanje u stanju Trimuše nakon što ju je Đemo uredio.;Trimuša's condition has greatly improved since it was altered by Đemo;men;life together;;;4.0;4;3.8;6.4;;3;8.0;Condition;6;4.0;Activism;Culture & Society;Culture & Society;0;4;1.082353;0.0;0.0;2.351438;0.068586;0.927835
131;Uređene su male stepenice na Bijelom Brijegu.;At Bijeli Brijeg, small stairs have been constructed.;men;life together;3.0;1.0;;4;17.1;21.3;;17;10.0;Roads;21;3.0;Pedestrian Safety;Economic Activity & Livelihoods;Culture & Society;2;1;1.082353;3.049724;1.022222;0.0;1.423598;1.5
132;Kupalište na Buni je obnovljeno.;The Buna's swimming area has been renovated.;men;life together;;;4.0;4;3.1;17.2;;3;10.0;Open Spaces;17;2.0;Public Spaces;Culture & Society;Economic Activity & Livelihoods;0;4;1.082353;0.0;0.0;2.351438;0.068586;0.93617
133;Kažnjavaju se vlasnici pasa koji ne pokupe izmet iza svog psa.;Dog owners who do not collect their dog's feces are fined.;men;life together;4.0;;;4;10.7;4.3;;10;7.0;Animals;4;3.0;Non-violent Crime;Rights & Dignity;Rights & Dignity;4;4;1.082353;4.066298;0.0;0.0;7.747368;1.333333
134;Kad je gradonačelnik izašao ujutro sa komunalnim poduzećima, našao je više nego samo 2 radnika i dvije metle.;When the mayor arrived together with the utility companies, he discovered more than two employees and two brooms.;youth;life together;;4.0;;4;10.6;9.3;;10;6.0;Public utilities;9;3.0;Political functionality;Rights & Dignity;Rights & Dignity;-4;4;1.082353;0.0;4.088889;0.0;7.747368;0.774194
135;Stand-up komičari organiziraju nastupe u Mostaru.;Stand-up comedians organize performances in Mostar.;men;life together;;;4.0;4;11.2;3.7;;11;2.0;Social;3;7.0;Activities;Culture & Society;Culture & Society;0;4;1.082353;0.0;0.0;2.351438;0.064392;0.894977
136;U Mostaru postoji zoološki vrt.;There is a zoo in Mostar.;youth;life together;3.0;;1.0;4;17.2;10.7;;17;2.0;Public Spaces;10;7.0;Animals;Economic Activity & Livelihoods;Rights & Dignity;3;1;1.082353;3.049724;0.0;0.587859;1.423598;1.052632
137;Mostarcima je važna priroda (npr. drveće i biljke).;Nature is important to the people of Mostar (eg trees and plants).;youth;life together;;;4.0;4;3.5;3.1;;3;5.0;Use of outdoors;3;10.0;Open Spaces;Culture & Society;Culture & Society;0;4;1.082353;0.0;0.0;2.351438;0.068586;0.894977
138;Svaka osoba s dijabetesom ima mogućnost da dobije inzulin potreban za liječenje.;Every diabetic has the ability to obtain the insulin they require for therapy.;women;life together;1.0;;3.0;4;23.2;;;23;2.0;0;0;0;0;Rights & Dignity;0;1;1;1.082353;1.016575;0.0;1.763578;61.333333;0.0
161;U park na Bijelom Brijegu dolaze roditelji i djeca i iz drugih naselja.;Parents and children from nearby communities also visit Bijeli Brijeg's park.;men;life together;2.0;;1.0;3;11.0;3.1;;11;0.0;Socializing;3;10.0;Open Spaces;Culture & Society;Culture & Society;2;1;0.811765;2.033149;0.0;0.587859;0.048294;0.671233
