#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
85;Nema korupcije u policiji.;There's no corruption in the police.;youth;peace;1.0;1.0;5.0;7;4.2;5.1;;4;2.0;Corruption;5;10.0;Accountability;Rights & Dignity;Armed Actors;0;1;1.611111;0.796078;1.091398;2.301587;0.520513;1.615385
86;Roditelji mogu ostaviti dijete samo u stanu u Zaliku.;Parents can safely leave their kids alone at home in Zalik.;women;peace;;4.0;3.0;7;2.0;15.2;2022-02-12 00:00:00;2;0.0;Tranquility/Security;15;2.0;Infrastructure;Security;Culture & Society;-4;3;1.611111;0.0;4.365591;1.380952;0.819493;1.037037
87;Curice idu same iz Gornjeg Zalika u Urban cafe.;Young girls walk from Gornji Zalik (Upper Zalik) to Urban cafe all alone.;women;peace;1.0;2.0;4.0;7;2.3;15.2;2022-02-12 00:00:00;2;3.0;Movement;15;2.0;Infrastructure;Security;Culture & Society;-1;1;1.611111;0.796078;2.182796;1.84127;0.819493;1.037037
88;U Zaliku se ne vide migranti na ulicama.;In Zalik migrants can't be seen on the streets.;youth;peace;4.0;1.0;2.0;7;6.7;3.1;;6;7.0;Immigration;3;10.0;Open Spaces;Culture & Society;Culture & Society;3;1;1.611111;3.184314;1.091398;0.920635;0.119301;1.317647
96;Nije nikoga strah reći svoje ime na drugoj strani grada.;No one is afraid to say their name on the other side of the city.;youth;peace;1.0;;5.0;6;2.2;1.3;;2;2.0;Confidence;1;3.0;Social;Security;Culture & Society;1;1;1.380952;0.796078;0.0;2.301587;0.702422;0.607595
97;Vozači svojim vozilima ne zagrađuju izlaze s parkinga u Zaliku.;Drivers don't block parking lot exits with their cars in Zalik.;men;peace;3.0;2.0;1.0;6;21.1;;;21;10.0;Parking;0;0;0;Culture & Society;0;1;1;1.380952;2.388235;2.182796;0.460317;1.535939;0.0
98;Dječak prvog razreda osnovne ne pita drugo dijete: “Jesu li to prave najkice, jer znam da tvoja mama radi u butiku, a tata ne radi nikako.”;"A first grader won't ask another kid: ""Are those real Nike shoes? Because I know your mom works at a boutique and your dad doesn't work at all.""";women;peace;1.0;;5.0;6;20.8;15.5;;20;8.0;Livelihoods;15;5;Inclusion;Economic Activity & Livelihoods;Culture & Society;1;1;1.380952;0.796078;0.0;2.301587;2.949153;0.888889
99;Ljudi u Zaliku znaju ko živi s njima (komšije).;People in Zalik know their neighbors.;women;peace;2.0;2.0;2.0;6;6.1;3.2;;6;10.0;Us V Them;3;2.0;Public Ownership;Culture & Society;Culture & Society;0;2;1.380952;1.592157;2.182796;0.920635;0.102258;1.129412
100;Ako neko kaže kruh i neko kaže hljeb, oboje se poštuju.;If someone says kruh (the Croatian word for bread) and someone says hljeb (the Bosnian word for bread), both are respected.;women;peace;;1.0;5.0;6;6.9;6.8;;6;9.0;Ethno-religious identity;6;8.0;Language;Culture & Society;Culture & Society;-1;1;1.380952;0.0;1.091398;2.301587;0.102258;0.931408
101;Ljudi koji žive na Strelištu imaju vodosnabdijevanje.;People who live at Strelište (Shooting range) have a water supply system.;men;peace;5.0;1.0;;6;17.0;10.6;;17;0.0;Infrastructure;10;6.0;Public utilities;Economic Activity & Livelihoods;Rights & Dignity;4;1;1.380952;3.980392;1.091398;0.0;2.342308;1.125
