#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
93.0;U Mostaru postoji kvalitetan zdravstveni sustav, pa ljudi ne sele u inostranstvo (npr. Njemačka).;A quality healthcare system exists in Mostar such that people don't move abroad (e.g. to Germany).;youth;peace;2.0;1.0;2.0;5;23.2;2.2;;23;2.0;0;2;2.0;Confidence;Rights & Dignity;Security;1;1;1.313498;2.022346;1;1.100304;3.900862;1.089744
94.0;Avenija je rekonstruirana, pa se sad zadovoljstvo voziti tuda.;Because the Avenue has been renovated, driving there is now a pleasure;woman;peace;;1.0;4.0;5;17.1;21.2;;17;10.0;Roads;21;2.0;Traffic;Economic Activity & Livelihoods;Culture & Society;-1;1;1.313498;0.0;1;2.200608;1.278249;0.849057
95.0;Vladajućim strankama (SDA-HDZ) je u interesu da država bude uređena.;It is in the interest of the ruling parties (SDA-HDZ) for the state to be organized.;men;peace;3.0;1.0;1.0;5;9.9;9.3;;9;9.0;Political parties;9;3.0;Political functionality;Rights & Dignity;Rights & Dignity;2;1;1.313498;3.03352;1;0.550152;1.394453;0.932203
96.0;14-godišnjakinja se ljeti osjeća sigurno šetati Bijelim Brijegom.;A1 4-year-old feels secure taking a walk in Bijeli Brijeg in the summer.;youth;peace;2.0;1.0;2.0;5;15.0;22.3;;15;0.0;Youth;22;3.0;Safety and comfort;Culture & Society;Culture & Society;1;1;1.313498;2.022346;1;1.100304;0.566333;1.37931
106.0;Ljudi na Bijelom Brijegu ne žele nigdje drugo živjeti, jer im je tu lijepo.;People in Bijeli Brijeg do not want to live anywhere else because it is nice there.;men;peace;1.0;3.0;;4;3.2;;;3;2.0;Public Ownership;0;0.0;0;Culture & Society;0;-2;1;1.050798;1.011173;3;0.0;0.129286;0.0
107.0;Više djece se igra na otvorenom, nego što sjede kući, gdje koriste tehnologiju.;Children spend more time playing outside than sitting at home where they use technology.;men;peace;;1.0;3.0;4;6.5;11.0;;6;5.0;Technology;11;0.0;Socializing;Culture & Society;Culture & Society;-1;1;1.050798;0.0;1;1.650456;0.142296;0.589147
108.0;Mnogi turisti se rado zadrže u Mostaru.;Many tourists enjoy their stay in Mostar.;youth;peace;;;4.0;4;20.4;2.2;;20;4.0;Tourism;2;2.0;Confidence;Economic Activity & Livelihoods;Security;0;4;1.050798;0.0;0;2.200608;1.160256;0.871795
109.0;Djevojka, koja u Mostar dolazi iz Amerike, se može bolje opustiti u Mostaru nego u Americi.;A girl who comes to Mostar from America can relax better in Mostar than in America.;youth;peace;;3.0;1.0;4;6.0;11.3;;6;0.0;Social Relations;11;3.0;Individual Leisure;Culture & Society;Culture & Society;-3;1;1.050798;0.0;3;0.550152;0.142296;0.589147
110.0;Za razliku od Zapada, u Mostaru možete nekoga nazvati u 12 da u 12:30 popijete kavu.;Unlike in the West, in Mostar you can call someone at 12 to go for coffee at 12:30.;youth;peace;;2.0;2.0;4;11.1;6.2;;11;10.0;Cafes and Space;6;2.0;Personal relationships;Culture & Society;Culture & Society;-2;2;1.050798;0.0;2;1.100304;0.29539;0.805031
111.0;Kad je 2012. pao veliki snijeg, svi susjedi u zgradi na Bijelom Brijegu su zajedno čistili snijeg.;During the big snow of 2012, all neighbors in a building at Bijeli Brijeg cleared the snow together.;youth;peace;;1.0;3.0;4;6.1;3.2;2022-02-14;6;10.0;Us V Them;3;2.0;Public Ownership;Culture & Society;Culture & Society;-1;1;1.050798;0.0;1;1.650456;0.142296;0.875
