#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
119;Mještani, koji su poslije rata doselili u Podhum, ne upućuju uvrede na nacionalnoj osnovi djevojkama koje prolaze pored kafića „Dario“;People who have moved to Podhum after the war are not insulting girls passing cafe Dario based on their nationality;women;peace;;1.0;1.0;2;6.9;22.2;;6;9.0;Ethno-religious identity;22;2.0;Gender based violence;Culture & Society;Culture & Society;-1;1;0.806604;0.0;1.819149;1.082278;0.055974;0.857143
120;Mještani, koji u Podhumu žive od prije rata, ne upućuju uvrede na nacionalnoj osnovi djevojkama koje prolaze pored kafića „Dario“;Locals, who have lived in Podhum since before the war, do not insult girls on national grounds who pass by cafe Dario.;women;peace;1.0;;1.0;2;6.9;22.2;;6;9.0;Ethno-religious identity;22;2.0;Gender based violence;Culture & Society;Culture & Society;1;1;0.806604;0.994186;0.0;1.082278;0.055974;0.857143
125;Mladi ostaju u Mostaru, jer im grad nudi sigurnost u vidu zaposlenja.;Young people stay in Mostar because the local government offers safety in terms of employment;women;peace;4.0;1.0;3.0;8;20.5;9.1;;20;5.0;Youth employment;9;10.0;City politics;Economic Activity & Livelihoods;Rights & Dignity;3;1;3.226415;3.976744;1.819149;3.246835;3.908571;2.857143
129;Mostarki je lijepo u Mostaru i ne želi ići nigdje drugo da živi;A girl from Mostar feels good here and does not want to live anywhere else;women;peace;1.0;1.0;;2;2.2;22.3;;2;2.0;Confidence;22;3.0;Safety and comfort;Security;Culture & Society;0;1;0.806604;0.994186;1.819149;0.0;0.22861;0.857143
130;Možemo raditi šta želimo, bez da ugrožavamo nekoga, bez obzira na to gdje se nalazimo.;We can do what we want, without endangering anyone, no matter where we are.;youth;peace;;;1.0;1;6.3;;;6;3.0;Social Trust;0;0;0;Culture & Society;0;0;1;0.403302;0.0;0.0;1.082278;0.027987;0.0
132;Multietičnost je bogatstvo Mostara, jer se ljudi uvažavaju.;Multiethnicity is the wealth of Mostar, because people respect each other.;men;peace;1.0;;1.0;2;6.9;1.1;;6;9.0;Ethno-religious identity;1;10.0;Personal value;Culture & Society;Culture & Society;1;1;0.806604;0.994186;0.0;1.082278;0.055974;0.473684
133;Multireligioznost je bogatsvo Mostara.*;Multi-religiousness is Mostar's richness.;men;peace;2.0;;2.0;4;14.2;6.3;;14;2.0;Interfaith relations;6;3.0;Social Trust;Culture & Society;Culture & Society;2;2;1.613208;1.988372;0.0;2.164557;2.206452;1.446154
134;Muškarac ne pljačka kladionicu za 70 KM;A man does not rob a betting shop for 70 BAM;youth;peace;;;1.0;1;4.3;;;4;3.0;Non-violent Crime;0;0;0;Rights & Dignity;0;0;1;0.403302;0.0;0.0;1.082278;0.110323;0.0
135;Musliman ide Srbima i Hrvatima na Božić.;Muslims visit Serbs and Croats on Christmas;men;peace;;;2.0;2;14.2;;;14;2.0;Interfaith relations;0;0;0;Culture & Society;0;0;2;0.806604;0.0;0.0;2.164557;1.103226;0.0
136;Muslimanima dolaze katolici i pravoslavci na Bajram.;Orthodox and Catholics visit Muslims on Eid;men;peace;;;2.0;2;14.2;;;14;2.0;Interfaith relations;0;00:00:00;0;Culture & Society;0;0;2;0.806604;0.0;0.0;2.164557;1.103226;0.0
139;Na Kantarevcu ima više aktivnosti za više djece (ne samo koncerti i božićni turnir);There are plenty of activities for children at SC Kantarevac (not only concerts and the Christmas tournament);youth;peace;4.0;;6.0;10;12.3;15.0;;12;3.0;Activities;15;0;Youth;Culture & Society;Culture & Society;4;4;4.033019;3.976744;0.0;6.493671;6.551724;2.769231
141;Na seminarima se okupljaju ljudi različitih nacija i religija;People of different nationalities and religions gather at the seminars;youth;peace;1.0;1.0;1.0;3;6.9;19.0;;6;9.0;Ethno-religious identity;19;0;Education;Culture & Society;Rights & Dignity;0;1;1.209906;0.994186;1.819149;1.082278;0.083961;0.666667
142;Na šetalište i Španski trg izlazi više djece i starijih osoba;More children and elderly go out to the promenade and Spanish square;youth;peace;;2.0;1.0;3;3.1;11.0;;3;10.0;Open Spaces;11;0;Socializing;Culture & Society;Culture & Society;-2;1;1.209906;0.0;3.638298;1.082278;0.582955;1.32
143;Na studiji turizma na UNMO ima približno 50% studenata Bošnjaka, a 50% Hrvata;There are 50% of Bosniak and 50% of Croat students studying tourism at Džemal Bijedić University of Mostar;youth;peace;;;1.0;1;19.3;6.9;;19;3.0;School inclusiveness;6;9.0;Ethno-religious identity;Rights & Dignity;Culture & Society;0;1;0.403302;0.0;0.0;1.082278;0.263889;0.361538
144;Na tribinama igrališta u Podhumu se roditelji druže dok čekaju djecu da završe s igrom.;Parents spend time together by the seats at the playground in Podhum while they wait for their children;men;peace;;1.0;;1;11.1;3.1;;11;10.0;Cafes and Space;3;10.0;Open Spaces;Culture & Society;Culture & Society;-1;1;0.403302;0.0;1.819149;0.0;0.621818;0.454545
145;Na ulicama Podhuma nema odbačenih narkomanskih šprica;There are no discarded drug syringes on the streets of Podhum;women;peace;1.0;1.0;;2;3.1;16.4;;3;10.0;Open Spaces;16;4.0;Usage;Culture & Society;Rights & Dignity;0;1;0.806604;0.994186;1.819149;0.0;0.388636;0.666667
146;Nacionalni predstavnici sva tri naroda ne proizvode strah među ljudima, da bi tako ostali na vlasti.;The national representatives of all three nations do not produce fear among the people in order to stay in power.;men;peace;;1.0;;1;6.9;8.4;;6;9.0;Ethno-religious identity;8;4.0;Politics;Culture & Society;Culture & Society;-1;1;0.403302;0.0;1.819149;0.0;0.027987;1.0
147;Nacionalni predstavnici sva tri naroda se interesuju za obične ljude, a ne samo kako da raspoređuju funkcije i pare.;The national representatives of all three nations are interested in ordinary people, and not only in how to distribute functions and money.;men;peace;1.0;1.0;;2;4.2;9.2;;4;2.0;Corruption;9;2.0;Political accountability;Rights & Dignity;Rights & Dignity;0;1;0.806604;0.994186;1.819149;0.0;0.220645;0.714286
