#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
167;U Blagaju postoje žene koje sjede u kafićima, u kojima inače preovladavaju muškarci.;In Blagaj there exists women who sit in kafes, in which normally men dominate.;women;life together;;2.0;;2;22.1;22.3;;22;10.0;Gender norms;22;3.0;Safety and comfort;Culture & Society;Culture & Society;-2;2;0.561404;0.0;1.548387;0.0;0.514286;0.7
168;Ljudima imaju više samoinicijative.;People have more self-initiative.;women;life together;;2.0;;2;3.2;6.4;;3;2.0;Public Ownership;6;4.0;Activism;Culture & Society;Culture & Society;-2;2;0.561404;0.0;1.548387;0.0;0.1536;0.716667
169;Više žena se odaziva da učestvuju u organizovanim aktivnostima.;More women respond to participate in organized activities.;women;life together;1.0;;1.0;2;22.0;1.3;;22;0.0;Gender;1;3.0;Social;Culture & Society;Culture & Society;1;1;0.561404;0.742268;0.0;1.082707;0.514286;0.392857
170;Žene boli briga šta će im ko reći.;Women are unconcerned with what others have to say about them.;women;life together;2.0;;;2;22.1;;;22;10.0;Gender norms;0;0;0;Culture & Society;0;2;2;0.561404;1.484536;0.0;0.0;0.514286;0.0
171;Ljeti se ljudi iz Mostara i Blagaja okupljaju u Lazy Baru u Blagaju.;People from Mostar and Blagaj gather at Blagaj's Lazy Bar during the summer.;women;life together;;2.0;;2;3.3;11.1;;3;3.0;Comfort;11;10.0;Cafes and Space;Culture & Society;Culture & Society;-2;2;0.561404;0.0;1.548387;0.0;0.1536;0.390244
172;Okupljanja ljudi su najbolji pokazatelji zajedničkog života.;Gatherings of people are the best indicators of life together.;women;life together;1.0;;1.0;2;1.3;;;1;3.0;Social;0;0;0;Culture & Society;0;1;1;0.561404;0.742268;0.0;1.082707;0.051948;0.0
173;Srpkinje i Bošnjakinje iz Malog polja zajedno piju kafu.;Serb and Bosniak women from Malo Polje drink coffee together.;women;life together;2.0;;;2;22.0;6.9;;22;0.0;Gender;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;2;2;0.561404;1.484536;0.0;0.0;0.514286;0.716667
174;U Mostaru postoji ustanova za odvikavanje od narkotika;In Mostar there exists a narcotics rehab facility.;youth;life together;;;2.0;2;16.5;16.3;;16;5.0;Drug rehab;16;3.0;Rehabilitation;Rights & Dignity;Rights & Dignity;0;2;0.561404;0.0;0.0;2.165414;144.0;1.0
175;Ne postoji razlika izmedu „ove“ i „one“ strane, kad se radi o obnavljanju ruševina.;"When it comes to rebuilding ruins, there is no distinction between ""this"" and ""that"" side.";women;life together;1.0;;1.0;2;17.4;9.1;;17;4.0;Buildings;9;10.0;City politics;Economic Activity & Livelihoods;Rights & Dignity;1;1;0.561404;0.742268;0.0;1.082707;0.8;0.708333
176;Dom kulture Blagaj, koji je za sve ljude, ne stoji prazan čitavu sedmicu.;The Cultural Centre in Blagaj, which is for all people, does not stand empty the whole week.;women;life together;1.0;;1.0;2;9.3;3.7;;9;3.0;Political functionality;3;7.0;Activities;Rights & Dignity;Culture & Society;1;1;0.561404;0.742268;0.0;1.082707;0.352941;0.666667
